Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,Nature,Reporting Type,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),76,Brazil,2016,-4.10,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),84,Belize,2016,-1.94,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),90,Solomon Islands,2016,0.50,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),92,British Virgin Islands,2016,6.36,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),96,Brunei Darussalam,2016,-3.61,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),100,Bulgaria,2016,4.51,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),104,Myanmar,2016,5.14,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),108,Burundi,2016,-0.03,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),112,Belarus,2016,-2.53,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),116,Cambodia,2016,5.22,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),120,Cameroon,2016,1.90,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),124,Canada,2016,0.12,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),132,Cabo Verde,2016,3.44,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),136,Cayman Islands,2016,1.70,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),140,Central African Republic,2016,3.51,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),144,Sri Lanka,2016,3.92,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),148,Chad,2016,-5.71,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),152,Chile,2016,0.33,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),156,China,2016,6.19,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),170,Colombia,2016,0.70,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),174,Comoros,2016,2.33,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),178,Congo,2016,-5.24,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),180,Democratic Republic of the Congo,2016,-0.91,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),184,Cook Islands,2016,5.28,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),188,Costa Rica,2016,3.15,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),191,Croatia,2016,4.08,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),192,Cuba,2016,0.42,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),196,Cyprus,2016,6.26,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),203,Czechia,2016,2.28,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),204,Benin,2016,2.14,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),208,Denmark,2016,2.84,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),212,Dominica,2016,2.35,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),214,Dominican Republic,2016,5.42,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),218,Ecuador,2016,-2.90,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),222,El Salvador,2016,2.01,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),226,Equatorial Guinea,2016,-12.08,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),231,Ethiopia,2016,4.69,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),232,Eritrea,2016,0.83,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),233,Estonia,2016,2.54,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
