Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,Nature,Reporting Type,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15.1,15.1.1,AG_LND_FRST,Forest area as a proportion of total land area (%),1,World,2015,31.3625052498293000,2015,,,,,"FAO, Global Forest Resources Assessment and FAOSTAT",,"Aggregate, may include official, semi-official, estimated or calculated data",NA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15.1,15.1.1,AG_LND_FRST,Forest area as a proportion of total land area (%),2,Africa,2015,22.0448255523845000,2015,,,,,"FAO, Global Forest Resources Assessment and FAOSTAT",,"Aggregate, may include official, semi-official, estimated or calculated data",NA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15.1,15.1.1,AG_LND_FRST,Forest area as a proportion of total land area (%),4,Afghanistan,2015,1.8509940875532300,2015,,,,,"FAO, Global Forest Resources Assessment and FAOSTAT",,Official country data submitted to FAO,C,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15.1,15.1.1,AG_LND_FRST,Forest area as a proportion of total land area (%),5,South America,2015,49.0459607392264000,2015,,,,,"FAO, Global Forest Resources Assessment and FAOSTAT",,"Aggregate, may include official, semi-official, estimated or calculated data",NA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15.1,15.1.1,AG_LND_FRST,Forest area as a proportion of total land area (%),8,Albania,2015,28.8024635036496000,2015,,,,,"FAO, Global Forest Resources Assessment and FAOSTAT",,FAO Estimate,E,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15.1,15.1.1,AG_LND_FRST,Forest area as a proportion of total land area (%),9,Oceania,2015,21.7312104855065000,2015,,,,,"FAO, Global Forest Resources Assessment and FAOSTAT",,"Aggregate, may include official, semi-official, estimated or calculated data",NA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15.1,15.1.1,AG_LND_FRST,Forest area as a proportion of total land area (%),11,Western Africa,2015,14.3431463409003000,2015,,,,,"FAO, Global Forest Resources Assessment and FAOSTAT",,"Aggregate, may include official, semi-official, estimated or calculated data",NA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15.1,15.1.1,AG_LND_FRST,Forest area as a proportion of total land area (%),12,Algeria,2015,0.8212483310520880,2015,,,,,"FAO, Global Forest Resources Assessment and FAOSTAT",,Official country data submitted to FAO,C,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15.1,15.1.1,AG_LND_FRST,Forest area as a proportion of total land area (%),13,Central America,2015,36.4769050716275000,2015,,,,,"FAO, Global Forest Resources Assessment and FAOSTAT",,"Aggregate, may include official, semi-official, estimated or calculated data",NA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15.1,15.1.1,AG_LND_FRST,Forest area as a proportion of total land area (%),14,Eastern Africa,2015,30.3534430289169000,2015,,,,,"FAO, Global Forest Resources Assessment and FAOSTAT",,"Aggregate, may include official, semi-official, estimated or calculated data",NA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
