Goal, Target, Indicator, SeriesCode, SeriesDescription, GeoAreaCode, GeoAreaName, TimePeriod, Value, Time_Detail,  UpperBound, LowerBound, BasePeriod, Source, FootNote, Nature, Units,[Reporting Type]
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),620,Portugal,2018,424.73,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),634,Qatar,2018,0,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),646,Rwanda,2018,0,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),660,Anguilla,2018,0,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),670,Saint Vincent and the Grenadines,2018,0,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),686,Senegal,2018,0,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),68,Bolivia (Plurinational State of),2018,981.862,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),84,Belize,2018,197.122,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),96,Brunei Darussalam,2018,0,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),112,Belarus,2018,9354.756,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),132,Cabo Verde,2018,0,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),148,Chad,2018,0,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),175,Mayotte,2018,0,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),580,Northern Mariana Islands,2018,0,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),585,Palau,2018,0,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),600,Paraguay,2018,41.686,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),616,Poland,2018,7169.08,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),630,Puerto Rico,2018,0,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),643,Russian Federation,2018,48846.021,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),659,Saint Kitts and Nevis,2018,0,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),666,Saint Pierre and Miquelon,2018,0,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),682,Saudi Arabia,2018,0,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),166,Cocos (Keeling) Islands,2018,0,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),178,Congo,2018,2410.693,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),702,Singapore,2018,0,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),706,Somalia,2018,0,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),724,Spain,2018,2314.735,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),756,Switzerland,2018,606.235,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),768,Togo,2018,0,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),784,United Arab Emirates,2018,0,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),796,Turks and Caicos Islands,2018,0,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),807,North Macedonia,2018,0,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),694,Sierra Leone,2018,3.137,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),188,Costa Rica,2018,39.429,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),208,Denmark,2018,268.937,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),222,El Salvador,2018,0,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),233,Estonia,2018,1602.172,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),242,Fiji,2018,85.385,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),254,French Guiana,2018,0,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),266,Gabon,2018,2042.616,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),276,Germany,2018,7760.405,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),300,Greece,2018,0,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),450,Madagascar,2018,1.298,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),466,Mali,2018,0,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),480,Mauritius,2018,0,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),496,Mongolia,2018,0,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),504,Morocco,2018,0,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),520,Nauru,2018,0,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),533,Aruba,2018,0,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),562,Niger,2018,0,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),12,Algeria,2018,0,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),16,American Samoa,2018,0,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),20,Andorra,2018,0,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),40,Austria,2018,3126.375,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),51,Armenia,2018,0,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),56,Belgium,2018,323.694,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),578,Norway,2018,7380.75,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),584,Marshall Islands,2018,0,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),598,Papua New Guinea,2018,37.575,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),612,Pitcairn,2018,0,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),626,Timor-Leste,2018,0,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),642,Romania,2018,2728.308,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),654,Saint Helena,2018,0,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),663,Saint Martin (French Part),2018,0,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),678,Sao Tome and Principe,2018,0,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),690,Seychelles,2018,0,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),72,Botswana,2018,0,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),90,Solomon Islands,2018,39.406,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
