Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Nature,Reporting Type,Type of product,Units,2005,2010,2015,2016,2017,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",12,Algeria,C,G,CLO,PERCENT,30.00,30.00,30.00,30.00,30.00,30.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",12,Algeria,C,G,IND,PERCENT,12.04,12.08,12.51,11.89,11.81,12.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",12,Algeria,C,G,OIL,PERCENT,,15.00,15.00,15.00,9.23,9.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",12,Algeria,C,G,TEX,PERCENT,19.85,20.24,21.85,23.27,22.80,22.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",19,Americas,C,G,AGR,PERCENT,10.52,11.15,9.36,9.82,8.28,8.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",19,Americas,C,G,ALP,PERCENT,4.31,4.55,3.95,4.21,3.86,3.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",19,Americas,C,G,ARM,PERCENT,2.93,2.60,2.54,3.00,2.33,2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",19,Americas,C,G,CLO,PERCENT,16.74,17.20,17.86,17.99,17.67,17.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",19,Americas,C,G,IND,PERCENT,3.69,3.98,3.06,3.15,3.01,3.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",19,Americas,C,G,OIL,PERCENT,0.34,0.21,0.17,0.17,0.18,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
